mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
806.3749814,531.0688237,NA,NA,NA,NA,NA,NA,NA,3551800.616,2865610.315,4754626.577,4449120.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.3727106,411.5607369,NA,NA,NA,NA,NA,NA,NA,242705.1832,NA,346187.0684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.4025771,391.2579676,NA,NA,NA,NA,NA,2316108.658,NA,5559650.021,NA,357600.2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.4379621,858.3236638,NA,NA,NA,NA,NA,NA,2196984.542,NA,520020.9326,NA,NA,NA,5618988.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.5083061,1119.62747,NA,NA,NA,NA,NA,NA,792833.6985,NA,NA,NA,NA,NA,745180.3258,813710.3473,NA,NA,NA,NA,NA,NA,NA,2077937.061,930585.1424,1441705.491,NA
806.5157331,868.3941637,NA,NA,NA,NA,NA,NA,1089351.288,359193.0935,NA,535681.8684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806.6190227,1134.740473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379897.4062,NA,NA,NA,NA,NA,NA,878556.8302,NA,NA,NA,NA
807.3674399,384.9107391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276374.856,352040.9973,692115.1023,NA,NA,2980228.415,113266.7744
807.3784186,530.6949064,NA,NA,NA,NA,NA,NA,NA,1723155.13,NA,NA,1934167.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807.4055475,389.6085916,NA,NA,NA,NA,NA,473307.6594,NA,1110464.186,1682960.814,NA,692276.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
